[2026-07-31 09:43:30.968] [剩余时间: 300秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.437] [剩余时间: 298秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.489] [剩余时间: 298秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.538] [剩余时间: 298秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.585] [剩余时间: 298秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.631] [剩余时间: 298秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.680] [剩余时间: 298秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.726] [剩余时间: 298秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.778] [剩余时间: 298秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.827] [剩余时间: 298秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.877] [剩余时间: 298秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.924] [剩余时间: 298秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:32.972] [剩余时间: 297秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.021] [剩余时间: 297秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.067] [剩余时间: 297秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.115] [剩余时间: 297秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.160] [剩余时间: 297秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.210] [剩余时间: 297秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.254] [剩余时间: 297秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.305] [剩余时间: 297秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.355] [剩余时间: 297秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.409] [剩余时间: 297秒] AIN1:1151, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.458] [剩余时间: 297秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.505] [剩余时间: 297秒] AIN1:1145, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.556] [剩余时间: 297秒] AIN1:1145, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.610] [剩余时间: 297秒] AIN1:1145, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.660] [剩余时间: 297秒] AIN1:1145, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.708] [剩余时间: 297秒] AIN1:1145, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.757] [剩余时间: 297秒] AIN1:1145, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.804] [剩余时间: 297秒] AIN1:1145, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.848] [剩余时间: 297秒] AIN1:1145, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.896] [剩余时间: 297秒] AIN1:1145, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.941] [剩余时间: 297秒] AIN1:1145, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:33.993] [剩余时间: 296秒] AIN1:1145, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.040] [剩余时间: 296秒] AIN1:1139, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.088] [剩余时间: 296秒] AIN1:1139, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.134] [剩余时间: 296秒] AIN1:1139, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.181] [剩余时间: 296秒] AIN1:1139, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.231] [剩余时间: 296秒] AIN1:1139, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.278] [剩余时间: 296秒] AIN1:1139, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.326] [剩余时间: 296秒] AIN1:1139, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.371] [剩余时间: 296秒] AIN1:1139, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.421] [剩余时间: 296秒] AIN1:1139, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.467] [剩余时间: 296秒] AIN1:1139, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.516] [剩余时间: 296秒] AIN1:1139, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.562] [剩余时间: 296秒] AIN1:1139, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.618] [剩余时间: 296秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.665] [剩余时间: 296秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.711] [剩余时间: 296秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.761] [剩余时间: 296秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.809] [剩余时间: 296秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.858] [剩余时间: 296秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.905] [剩余时间: 296秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:34.954] [剩余时间: 296秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.006] [剩余时间: 295秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.050] [剩余时间: 295秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.104] [剩余时间: 295秒] AIN1:1151, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.157] [剩余时间: 295秒] AIN1:1145, AIN2:1145, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.205] [剩余时间: 295秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.252] [剩余时间: 295秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.301] [剩余时间: 295秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.349] [剩余时间: 295秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.402] [剩余时间: 295秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.456] [剩余时间: 295秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.527] [剩余时间: 295秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.579] [剩余时间: 295秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.626] [剩余时间: 295秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.675] [剩余时间: 295秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.719] [剩余时间: 295秒] AIN1:1151, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.782] [剩余时间: 295秒] AIN1:1151, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.866] [剩余时间: 295秒] AIN1:1151, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.918] [剩余时间: 295秒] AIN1:1151, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:35.964] [剩余时间: 295秒] AIN1:1151, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.012] [剩余时间: 294秒] AIN1:1151, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.062] [剩余时间: 294秒] AIN1:1151, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.113] [剩余时间: 294秒] AIN1:1151, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.157] [剩余时间: 294秒] AIN1:1151, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.209] [剩余时间: 294秒] AIN1:1151, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.262] [剩余时间: 294秒] AIN1:1151, AIN2:1139, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.308] [剩余时间: 294秒] AIN1:1145, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.363] [剩余时间: 294秒] AIN1:1145, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.435] [剩余时间: 294秒] AIN1:1145, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.483] [剩余时间: 294秒] AIN1:1145, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.529] [剩余时间: 294秒] AIN1:1145, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.581] [剩余时间: 294秒] AIN1:1145, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.632] [剩余时间: 294秒] AIN1:1145, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.698] [剩余时间: 294秒] AIN1:1145, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.742] [剩余时间: 294秒] AIN1:1145, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.795] [剩余时间: 294秒] AIN1:1145, AIN2:1145, AIN3:1142, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.845] [剩余时间: 294秒] AIN1:1145, AIN2:1145, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.897] [剩余时间: 294秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.947] [剩余时间: 294秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:36.993] [剩余时间: 293秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.045] [剩余时间: 293秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.097] [剩余时间: 293秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.144] [剩余时间: 293秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.192] [剩余时间: 293秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.260] [剩余时间: 293秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.308] [剩余时间: 293秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.357] [剩余时间: 293秒] AIN1:1145, AIN2:1139, AIN3:1136, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.407] [剩余时间: 293秒] AIN1:1145, AIN2:1139, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.454] [剩余时间: 293秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.518] [剩余时间: 293秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.568] [剩余时间: 293秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.622] [剩余时间: 293秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.669] [剩余时间: 293秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.717] [剩余时间: 293秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.760] [剩余时间: 293秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
[2026-07-31 09:43:37.815] [剩余时间: 293秒] AIN1:1145, AIN2:1145, AIN3:1148, AIN4:65535, AIN5:65535, AIN6:65535, AIN7:65535, AIN8:65535, AIN9:65535
